Designator,Mid X,Mid Y,Rotation,Layer
C1,55.0,-53.475,90.0,top
C10,68.453,-77.864,270.0,top
C11,73.8124,-71.6026,0.0,top
C12,60.325,-77.978,90.0,top
C13,65.3796,-77.8764,90.0,top
C14,73.8378,-62.8142,90.0,top
C15,70.612,-77.851,270.0,top
C16,67.0306,-62.8142,90.0,top
C17,75.184,-65.4304,0.0,top
C18,90.932,-92.443,270.0,top
C19,101.346,-88.011,270.0,top
C2,52.832,-66.421,180.0,top
C20,99.822,-88.011,90.0,top
C21,93.98,-92.443,270.0,top
C22,85.852,-84.0486,90.0,top
C23,84.328,-87.363,270.0,top
C24,90.932,-61.468,270.0,top
C25,101.263,-57.785,270.0,top
C26,99.695,-57.785,90.0,top
C27,93.98,-61.468,270.0,top
C28,85.852,-53.086,90.0,top
C29,84.328,-56.388,270.0,top
C3,75.3618,-62.8142,90.0,top
C30,91.015,-71.628,270.0,top
C31,101.346,-67.9196,270.0,top
C32,99.7204,-67.9196,90.0,top
C33,94.063,-71.628,270.0,top
C34,85.9282,-63.246,90.0,top
C35,84.411,-66.548,270.0,top
C36,91.015,-82.042,270.0,top
C37,101.346,-78.359,270.0,top
C38,99.822,-78.359,90.0,top
C39,94.063,-82.042,270.0,top
C4,74.803,-67.2846,0.0,top
C40,85.9282,-73.66,90.0,top
C41,84.411,-76.962,270.0,top
C5,61.582,-71.374,180.0,top
C6,68.58,-62.8065,90.0,top
C7,67.0306,-58.928,90.0,top
C8,61.595,-66.929,180.0,top
C9,68.58,-58.928,90.0,top
D1,105.4228,-59.6824,90.0,bottom
D10,110.49,-68.072,270.0,top
D11,105.41,-77.216,90.0,top
D12,110.49,-68.072,270.0,bottom
D13,105.41,-77.216,90.0,bottom
D14,105.41,-68.072,270.0,top
D15,110.49,-85.852,270.0,top
D16,110.49,-59.69,90.0,bottom
D17,59.182,-51.943,0.0,top
D18,67.945,-55.499,270.0,top
D19,75.0316,-75.3364,180.0,top
D2,110.49,-59.69,90.0,top
D20,80.772,-85.5472,270.0,top
D21,80.8228,-57.0484,90.0,top
D22,82.55,-69.2912,0.0,top
D23,80.8736,-75.184,270.0,top
D3,110.49,-77.216,90.0,top
D4,110.49,-77.216,90.0,bottom
D5,105.41,-85.852,270.0,bottom
D6,105.41,-59.69,90.0,top
D7,105.41,-85.852,270.0,top
D8,110.49,-85.852,270.0,bottom
D9,105.41,-68.072,270.0,bottom
J1,65.913,-50.0,270.0,top
J2,74.549,-50.0,180.0,top
J3,104.668,-92.7104,90.0,top
J4,53.848,-80.249,180.0,top
J5,66.563,-83.439,90.0,top
J6,54.4576,-88.4936,90.0,top
R1,73.8124,-73.66,180.0,top
R10,75.013,-77.0051,0.0,top
R11,66.9036,-77.8764,90.0,top
R12,76.9112,-62.8142,90.0,top
R13,101.263,-84.5,270.0,top
R14,99.612,-84.5,90.0,top
R15,98.298,-88.0,90.0,top
R16,92.456,-92.443,270.0,top
R17,82.804,-84.0486,90.0,top
R18,84.328,-84.0486,270.0,top
R19,85.852,-87.363,90.0,top
R2,56.007,-83.566,270.0,top
R20,82.804,-87.363,270.0,top
R21,101.263,-54.356,270.0,top
R22,99.612,-54.356,90.0,top
R23,98.0948,-57.785,90.0,top
R24,92.456,-61.468,270.0,top
R25,82.804,-53.086,90.0,top
R26,84.328,-53.086,270.0,top
R27,85.852,-56.388,90.0,top
R28,82.804,-56.388,270.0,top
R29,101.346,-64.516,270.0,top
R3,57.531,-83.566,270.0,top
R30,99.695,-64.516,90.0,top
R31,98.1456,-67.9196,90.0,top
R32,92.539,-71.628,270.0,top
R33,82.8548,-63.246,90.0,top
R34,84.4042,-63.246,270.0,top
R35,85.935,-66.548,90.0,top
R36,82.887,-66.548,270.0,top
R37,101.346,-74.93,270.0,top
R38,99.695,-74.93,90.0,top
R39,98.171,-78.359,90.0,top
R4,59.055,-83.566,270.0,top
R40,92.539,-82.042,270.0,top
R41,82.8802,-73.66,90.0,top
R42,84.4042,-73.66,270.0,top
R43,85.935,-76.962,90.0,top
R44,82.887,-76.962,270.0,top
R5,60.579,-83.566,270.0,top
R6,57.6834,-67.2846,0.0,top
R7,57.6834,-65.7241,180.0,top
R8,70.441,-62.8065,270.0,top
R9,71.965,-62.8065,270.0,top
SW1,54.356,-70.358,270.0,top
SW2,75.7936,-81.1784,0.0,top
U1,55.499,-60.071,180.0,top
U2,63.246,-59.436,270.0,top
U3,67.455,-70.3205,0.0,top
U4,92.329,-87.363,180.0,top
U5,92.329,-56.388,180.0,top
U6,92.412,-66.548,180.0,top
U7,92.412,-76.962,180.0,top
Y1,62.865,-78.105,90.0,top
